sup_id,name,full_name,gender,place_of_birth,first_appearance,publisher,alignment,race,height,weight,eye_color,hair_color,occupation,work_base,group_affiliation,relatives,intelligence,strength,speed,durability,power,combat,image_url
1,A-Bomb,Richard Milhouse Jones,Male,"Scarsdale, Arizona","Hulk Vol 2 #2 (April, 2008) (as A-Bomb)",Marvel Comics,good,Human,6'8,441 kg,Yellow,No Hair,"Musician, adventurer, author; formerly talk show host",,"Hulk Family; Excelsior (sponsor), Avengers (honorary member); formerly partner of the Hulk, Captain America and Captain Marvel; Teen Brigade; ally of Rom","Marlo Chandler-Jones (wife); Polly (aunt); Mrs. Chandler (mother-in-law); Keith Chandler, Ray Chandler, three unidentified others (brothers-in-law); unidentified father (deceased); Jackie Shorr (alleged mother; unconfirmed)",38,100,17,80,24,64,https://www.superherodb.com/pictures2/portraits/10/100/10060.jpg
2,Abe Sapien,Abraham Sapien,Male,,Hellboy: Seed of Destruction (1993),Dark Horse Comics,good,Icthyo Sapien,6'3,65 kg,Blue,No Hair,Paranormal Investigator,,Bureau for Paranormal Research and Defense,"Edith Howard (wife, deceased)",88,28,35,65,100,85,https://www.superherodb.com/pictures2/portraits/10/100/956.jpg
3,Abin Sur,,Male,Ungara,"Showcase #22 (October, 1959)",DC Comics,good,Ungaran,6'1,90 kg,Blue,No Hair,"Green Lantern, former history professor",Oa,"Green Lantern Corps, Black Lantern Corps","Amon Sur (son), Arin Sur (sister), Thaal Sinestro (brother-in-law), Soranik Natu (niece)",50,90,53,64,99,65,https://www.superherodb.com/pictures2/portraits/10/100/1460.jpg
4,Abomination,Emil Blonsky,Male,"Zagreb, Yugoslavia",Tales to Astonish #90,Marvel Comics,bad,Human / Radiation,6'8,441 kg,Green,No Hair,Ex-Spy,Mobile,"former member of the crew of the Andromeda Starship, ally of the Abominations and Forgotten","Nadia Dornova Blonsky (wife, separated)",63,80,53,90,62,95,https://www.superherodb.com/pictures2/portraits/10/100/1.jpg
5,Abraxas,Abraxas,Male,Within Eternity,Fantastic Four Annual #2001,Marvel Comics,bad,Cosmic Entity,0 cm,0 kg,Blue,Black,Dimensional destroyer,,Cosmic Beings,"Eternity (""Father"")",88,63,83,100,100,55,https://www.superherodb.com/pictures2/portraits/10/100/181.jpg
6,Absorbing Man,Carl Creel,Male,"New York City, New York","Daredevil #1 (April, 1964) (As Rocky Davis)",Marvel Comics,bad,Human,6'4,122 kg,Blue,No Hair,Professional criminal; former professional boxer,,"Masters of Evil, Lethal Legion; formerly Worthy, Frightful Four: former agent of Loki and They Who Wield Power","Mary MacPherran (Titania) (wife); Jerry Sledge (son); Rockwell ""Rocky"" Davis (Hi-Llite) (cousin)",38,80,25,100,98,64,https://www.superherodb.com/pictures2/portraits/10/100/1448.jpg
7,Adam Monroe,,Male,,Heroes S02E01 - Four Months Later...,NBC - Heroes,good,,0 cm,0 kg,Blue,Blond,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army","U.S.; formerly Diedenshausen, Germany; Milan, Italy; Paris, France; Japan; England; Atlanta, GA; Montreal, Canada",,,63,10,12,100,100,64,https://www.superherodb.com/pictures2/portraits/10/100/1026.jpg
8,Adam Strange,Adam Strange,Male,"Chicago, Illinois","Outsiders #6 (April, 1986)",DC Comics,good,Human,6'1,88 kg,Blue,Blond,"Adventurer, archaelogist, ambassador","Rann, Alpha Centauri System","Omega Men, L.E.G.I.O.N., R.E.B.E.L.S., formerly Seven Soldiers of Victory","Alanna Strange (wife); Aleea Strange (daughter); Sardath (father-in-law); Janey Strange (sister); Todd Strange (brother, deceased); Bantteir (mother-in-law); Adam Strange II (descendent)",69,10,33,40,37,50,https://www.superherodb.com/pictures2/portraits/10/100/626.jpg
9,Agent 13,Sharon Carter,Female,,Tales of Suspense #75,Sharon Carter,good,,5'8,61 kg,Blue,Blond,Agent of SHIELD,"S.H.I.E.L.D. Headquarters, New York City",Agent of SHIELD.; former member of the Femme Force,"Harrison Carter (father), Amanda Carter (mother), Margaret ""Peggy"" Carter (sister)",,46,,,,,https://www.superherodb.com/pictures2/portraits/10/100/167.jpg
10,Agent Bob,Bob,Male,,"Cable & Deadpool #38 (May, 2007)",Marvel Comics,good,Human,5'10,81 kg,Brown,Brown,"Mercenary, janitor; former pirate, terrorist","Mobile; formerly Manhattan, Hellcarrier","A.I.M., Deadpool; formerly Agency X, Hydra",Allison (ex-wife); Terry and Howie (sons),10,8,13,5,5,20,https://www.superherodb.com/pictures2/portraits/10/100/10255.jpg
11,Agent Zero,Christoph Nord,Male,Unrevealed location in former East Germany,,Marvel Comics,good,,6'3,104 kg,,,"Mercenary, former government operative, freedom fighter",,"Formerly Weapon X, Weapon Plus, Team X, Cell Six, former bodyguard of Psi-Borg, former agent of Major Barrington","Unidentified parents (deceased), Andreas Nord (brother, deceased), Ginetta Lucia Barsalini (wife, deceased), unnamed child (deceased)",75,28,38,80,72,95,https://www.superherodb.com/pictures2/portraits/10/100/396.jpg
12,Air-Walker,Gabriel Lan,Male,"Xandar, a planet in the Tranta system, Andromeda galaxy",Fantastic Four #120,Marvel Comics,bad,,6'2,108 kg,Blue,White,"Former starship captain, Herald of Galactus",,"Former member of Nova Corps, Heralds of Galactus",,50,85,100,85,100,40,https://www.superherodb.com/pictures2/portraits/10/100/1358.jpg
13,Ajax,Francis,Male,,"Deadpool #14 (March, 1998)",Marvel Comics,bad,Cyborg,6'4,90 kg,Brown,Black,,,Formerly Weapon X,,56,48,35,80,34,55,https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg
14,Alan Scott,Alan Ladd Wellington Scott,Male,Gotham City,All-American Comics 16 (1940),DC Comics,good,,5'11,90 kg,Blue,Blond,,Gotham City and New York City; Formerly Capitol City,Justice Society of America; Formerly Checkmate; the Sentinels of Magic; Formerly All-Star Squadron,"Harlequin (Molly Mayne-Scott) (wife), Thorn (Rose Canton) (first wife, deceased), Todd Rice (Obsidian, son), Jennie-Lynn Hayden (Jade, daughter, deceased)",63,80,23,90,100,32,https://www.superherodb.com/pictures2/portraits/10/100/698.jpg
15,Alex Mercer,Alexander J. Mercer,Male,,,Wildstorm,bad,Human,0 cm,0 kg,,,,,"Gentek, The Infected",Dana Mercer (sister),50,80,42,90,100,50,https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg
16,Alex Woolsly,Alex Woolsly,Male,,Heroes S02E16 - Building 26,NBC - Heroes,good,,0 cm,0 kg,,,Employee at Sam's Comics,"Costa Verde, CA",,"Mr. Woolsly, Mrs. Woolsly, sister",,37,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1309.jpg
17,Alfred Pennyworth,Alfred Thaddeus Crane Pennyworth,Male,,"Batman #16 (April, 1943)",DC Comics,good,Human,5'10,72 kg,Blue,Black,"Butler; Caretaker, former Actor; Field Medic; Government Agent",Wayne Manor; Batcave; Gotham City,"Batman Family, Outsiders","Jarvis Pennyworth (father, deceased), Wilfred Pennyworth (older brother), Daphne Pennyworth (niece); Bruce Wayne (Batman, legal ward)",63,10,17,10,7,55,https://www.superherodb.com/pictures2/portraits/10/100/628.jpg
18,Alien,Xenomorph,Male,Your chest :),Alien (1979),Dark Horse Comics,bad,Xenomorph XX121,8'0,169 kg,,No Hair,,,,Alien Queen (mother),50,28,42,90,57,60,https://www.superherodb.com/pictures2/portraits/10/100/10449.jpg
19,Allan Quatermain,,Male,,(original version) King Solomon's Mines; (this version) League of Extraordinary Gentlemen #1 (America's Best Comics),Wildstorm,good,,0 cm,0 kg,,,(former) hunter; (current) agent of the British government,"The Secret Wing of the British Museum, London",League of Extraordinary Gentlemen,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/630.jpg
20,Amazo,,Male,,"Brave and the Bold #30 (July, 1960)",DC Comics,bad,Android,8'5,173 kg,Red,,,,Formerly the Secret Society of Super Villains,"Professor Ivo (creator), Kid Amazo (cyborg offspring)",63,100,83,100,100,100,https://www.superherodb.com/pictures2/portraits/10/100/1390.jpg
21,Ammo,,Male,,"Daredevil #252 (March, 1988)",Marvel Comics,bad,Human,6'2,101 kg,Brown,Black,"Gang leader , criminal , former soldier",New York City,former leader of the Wildboys,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/184.jpg
22,Ando Masahashi,Ando Masahashi,Male,,,NBC - Heroes,good,,0 cm,0 kg,,,Yamagato Industries computer programmer,,,,,,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1310.jpg
23,Angel,Liam,Male,,,Dark Horse Comics,good,Vampire,0 cm,0 kg,,,,,,"Kathy (sister), Connor (son), Twilight (""child"")",75,30,58,90,100,75,https://www.superherodb.com/pictures2/portraits/10/100/10431.jpg
24,Angel,Warren Kenneth Worthington III,Male,"Centerport, Long Island, New York",X-Men #54-56 (1969),Archangel,good,,6'0,68 kg,Blue,Blond,"Adventurer, chairman & principal stockholder of Worthington Industries, former terrorist",,"X-Men, Mutantes Sans Fronti�res, Hellfire Club; formerly Secret Defenders, X-Factor/X-Terminators, Horsemen of Apocalypse, Defenders, Death's champions, Champions of Los Angeles","Warren Kenneth Worthington Sr. (grandfather, deceased), Warren Kenneth Worthington Jr. (father, deceased), Kathryn Worthington (mother, deceased), Burtram ""Burt"" Worthington (Dazzler, paternal uncle), unnamed cousin",63,13,46,64,28,42,https://www.superherodb.com/pictures2/portraits/10/100/829.jpg
25,Angel Dust,Christina,Female,,Morlocks #1,Marvel Comics,good,Mutant,5'5,57 kg,Yellow,Black,,"Chicago, Illinois",,,38,55,23,42,17,30,https://www.superherodb.com/pictures2/portraits/10/100/10405.jpg
26,Angel Salvadore,Angel Salvadore Bohusk,Female,,"New X-Men #118 (November, 2001)",Tempest,good,,5'4,54 kg,Brown,Black,,,Formerly New Warriors; Special Class,Tito Bohusk (son); Axel Bohusk (son); Kara Bohusk (daughter); three other unidentified children;,38,10,28,28,56,60,https://www.superherodb.com/pictures2/portraits/10/100/1406.jpg
27,Angela,,Female,,,Image Comics,bad,,0 cm,0 kg,,,,,,,,97,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1070.jpg
28,Animal Man,Bernhard Baker,Male,,"Strange Adventures #180 (September, 1965)",DC Comics,good,Human,6'0,83 kg,Blue,Blond,,"San Diego, California","Formerly Animal Masters, Forgotten Heroes, Justice League of America, Justice League Europe","Ellen Frazier (wife), Cliff Baker (son), Maxine Baker (daughter), unnamed second daughter, Frank Baker, Jr. (father), Phyllis Baker (mother), unnamed sister, Frank, Sr (grandfather), Teddy (great grandfather), Sherman (great-great grandfather), Jack (great-great-great grandfather), Mary Frazier (mother-in-law), Dudley (uncle-in-law), Annie Cassidy (mother of second daughter), Lucy Cassidy (half-sister of second daughter)",56,48,47,85,73,80,https://www.superherodb.com/pictures2/portraits/10/100/632.jpg
29,Annihilus,Annihilus,Male,"Planet of Arthros, Sector 17A, Negative Zone",Fantastic Four Annual #6 (1968),Marvel Comics,bad,,5'11,90 kg,Green,No Hair,"Conqueror, scavenger",,Sometime ally of Blastaar,Annihilus is a series of clonal scions,75,80,47,56,59,64,https://www.superherodb.com/pictures2/portraits/10/100/1307.jpg
30,Ant-Man,Hank Pym,Male,"Elmsford, New York","Tales to Astonish #27 (January, 1962) (as Hank Pym)  Tales to Astonish #35 (September, 1962) (as Ant-Man)",Giant-Man,good,Human,6'11,122 kg,Blue,Blond,"Adventurer, Biochemist, former manager of Avengers Compound","Avengers Compound, Los Angeles; formerly Infinite Avengers Mansion; Captive aboard a Skrull ship; Avengers Mansion, New York City, New York","Avengers Academy, Secret Avengers; formerly Mighty Avengers, Avengers (founding member), Defenders, Future Iron Man's Team",,100,18,23,28,32,32,https://www.superherodb.com/pictures2/portraits/10/100/857.jpg
31,Ant-Man II,Scott Lang,Male,"Coral Gables, Florida","Avengers Vol 1 #181 (March, 1979)",Marvel Comics,good,Human,6'0,86 kg,Blue,Blond,"Electronics Technician,","South Beach, Miami, Florida; formerly Farmingdale, Long Island, New York","Ant-Man Security Solutions; formerly Future Foundation (leader), Fantastic Four (leader), Defenders, Avengers, Heroes For Hire, Stark Industries","Cassandra Eleanor Lang (daughter), Ruth (sister), Carl (brother-in-law), Peggy Rae (ex-wife)",75,18,17,40,53,30,https://www.superherodb.com/pictures2/portraits/10/100/166.jpg
32,Anti-Monitor,,Male,Moon of Qward,Crisis on Infinite Earths #4,DC Comics,bad,God / Eternal,200,0 kg,Yellow,No Hair,,"Qward, Antimatter Universe","Sinestro Corps, Weaponers of Qward, Thunderers of Qward, Shadow Demons","Monitor (""brother""), The Monitors",88,100,50,100,100,90,https://www.superherodb.com/pictures2/portraits/10/100/1292.jpg
33,Anti-Spawn,Jason Wynn,Male,,Spawn #16,Image Comics,bad,,0 cm,0 kg,,,,,,,,58,,,,,https://www.superherodb.com/pictures2/portraits/10/100/1071.jpg
34,Anti-Venom,Eddie Brock,Male,"San Francisco, California",Amazing Spider-Man #569 (as Anti-Venom),Toxin,,Symbiote,7'6,358 kg,Blue,Blond,Vigilante; former journalist for the Daily Globe,"New York, New York",,"Carl Brock (father, estranged), Janine Brock (mother, deceased), Mary Brock (sister), Ann Weying (ex-wife, deceased), Symbiotes' relatives: Toxin Symbiote (current symbiote, former grandson), Venom Symbiote (former symbiote, grandfather, former brother), Agony, Phage, Riot, Lasher (uncles, former sons), Scorn (sister, former niece), Carnage (father, former son), Scream (aunt, former daughter, deceased), Hybrid (uncle, former son, deceased)",75,60,65,90,96,84,https://www.superherodb.com/pictures2/portraits/10/100/1485.jpg
35,Apocalypse,En Sabah Nur,Male,"Akkaba, Egypt","X-Factor #5 (June, 1986)",Marvel Comics,bad,Mutant,7'0,135 kg,Red,Black,Student; formerly Conqueror; Scientist,"Celestial Ship, mobile","Clan Akkaba, employer of Apocalypse's Horsemen, Dark Riders, former employer of the Alliance of Evil, 198","Baal of the Crimson Sands (adopted father, deceased)",100,100,33,100,100,60,https://www.superherodb.com/pictures2/portraits/10/100/852.jpg
36,Aquababy,"Arthur Curry, Jr.",Male,,"Aquaman #23 (October, 1965)",DC Comics,good,,0 cm,0 kg,Blue,Blond,,Atlantis,Aquaman Family,"Aquaman (Orin/Arthur Curry) (father); Mera (mother); Koryak (half-brother); A.J. (half-brother); Atlan (grandfather); Tom Curry (adoptive grandfather, deceased); Orm Marius (uncle); Kordax (ancestor, deceased); Arthur Joseph Curry (adoptive cousin)",10,16,12,14,37,14,https://www.superherodb.com/pictures2/portraits/10/100/1389.jpg
37,Aqualad,Garth,Male,"Poseidonis, Atlantis","Adventure Comics #269 (February, 1960)",DC Comics,good,Atlantean,5'10,106 kg,Blue,Black,"Adventurer; Magician, former Sidekick",Atlantis,"Aquaman Family; formerly Black Lantern Corps, Sentinels of Magic, Teen Titans","Cerdian (son), Dolphin (wife), Berra (mother), Thar (father), Slizzath (uncle) Donna (grand-daughter)",63,44,42,75,89,60,https://www.superherodb.com/pictures2/portraits/10/100/1395.jpg
38,Aquaman,Orin,Male,Atlantis,"More Fun Comics #73 (November, 1941)",DC Comics,good,Atlantean,6'1,146 kg,Blue,Blond,"Protector of the Seas and Oceans, King of Poseidonis","Atlantean Royal Palace; Poseidonis, Atlantis","Justice League, Aquaman Family, Atlantean Royal Family; formerly Black Lantern Corps, Justice League International, Justice League Detroit, U.N.","Koryak (son), Arthur Curry, Jr. (son), A.J. (son), Orm Marius (half-brother), Debbie Perkins (half-sister), Drin (adopted brother), Atlanna (mother), Atlan (father), Atlena (aunt), Porm (adopted mother), Tom Curry (adopted father), Mera (wife), Hila (sister-in-law), Haumond (uncle), Kraken (uncle), Honsu (grandfather), Lorelei (grandmother), Manu (ancestor), Nala (ancestor), Fatima (ancestor), Kalunga (ancestor), Gana (ancestor), Fiona (ancestor), Regin (ancestor), Kordax (ancestor), Bazil (ancestor), Cora (ancestor), Illya (ancestor), Dardanus (ancestor), Alloroc (ancestor), Cole (ancestor), Narmea (ancestor), Orin (ancestor), Loma (ancestor), Shalako (ancestor), Thorvall (ancestor)",81,85,79,80,100,80,https://www.superherodb.com/pictures2/portraits/10/100/634.jpg
39,Arachne,Julia Carpenter,Female,"Los Angeles, California",Marvel Super Heroes Secret Wars #6,Marvel Comics,good,Human,5'9,63 kg,Blue,Blond,"Adventurer, fugitive, former government agent","Mobile; formerly Denver, Colorado; formerly Avengers Compound, Los Angeles, California","Omega Flight, formerly Commission on Superhuman Activities , Freedom Force , Avengers , Secret Defenders , Force Works , Queen�s Vengeance , West Coast Avengers, Secret Avengers (Civil War)","Rachel Carpenter (daughter), Walter Cornwall (father), Elizabeth Cornwall (mother), Larry Carpenter (ex-husband, deceased)",50,48,50,70,71,70,https://www.superherodb.com/pictures2/portraits/10/100/882.jpg
